world_x,world_y,height,monster_type
120.1,184.1,722,M09
191.4,516.9,114,M09
216.7,524.0,167,M02
253.5,343.9,30,M04
408.8,405.2,376,M04
428.3,381.4,440,M03
418.3,608.3,262,M04
415.0,614.9,215,M01
333.6,751.2,216,M04
329.8,765.5,274,M01
145.6,222.2,671,M01
141.8,301.9,369,M01
133.2,348.2,365,M01
151.3,350.6,422,M02
296.6,449.6,13,M01
220.3,463.9,107,M01
234.1,464.4,120,M02
220.8,439.1,8,M02
298.5,489.9,869,M01
411.2,508.8,196,M01
425.5,517.4,577,M03
152.8,525.5,1254,M01
139.9,505.4,419,M02
132.2,528.8,1032,M03
291.9,568.4,190,M01
115.8,584.2,1603,M01
364.9,729.5,613,M01
237.5,921.3,726,M01
228.9,913.6,608,M03
134.2,23.0,7,M01
13.4,58.1,107,M01
20.6,34.3,140,M01
63.1,107.7,55,M01
94.3,132.8,7,M01
98.6,125.2,72,M02
63.1,163.1,28,M01
121.0,204.4,710,M01
70.2,239.4,110,M01
90.7,246.6,291,M01
120.1,444.4,878,M01
103.4,458.2,433,M01
142.7,492.8,523,M01
217.2,499.0,152,M01
330.7,524.0,1474,M01
260.1,533.8,118,M01
270.6,555.8,199,M01
175.0,534.8,180,M01
353.9,547.7,414,M01
214.8,555.3,90,M01
190.5,558.2,246,M01
397.1,559.1,265,M01
194.8,590.4,125,M01
387.5,604.4,408,M01
391.3,603.0,496,M03
258.7,604.9,40,M01
251.1,619.7,54,M02
315.0,606.3,188,M01
342.7,601.1,570,M03
127.0,606.3,210,M01
131.8,614.5,214,M05
219.8,628.1,11,M01
248.9,646.2,133,M01
339.3,629.0,37,M01
159.2,634.7,483,M01
436.4,638.6,580,M01
146.1,649.1,583,M01
215.3,652.9,356,M01
403.3,657.9,783,M01
382.8,663.1,286,M01
185.0,660.8,877,M01
435.0,663.6,199,M01
336.0,671.2,37,M01
189.5,686.0,43,M01
376.6,688.2,110,M01
411.6,698.2,39,M01
409.2,697.2,43,M02
305.2,700.6,4,M01
278.2,713.9,140,M01
206.2,726.1,484,M01
246.5,731.8,149,M01
312.6,746.1,268,M01
331.7,726.1,194,M02
278.7,773.1,96,M01
260.6,776.9,92,M02
352.5,793.9,213,M01
223.6,812.7,119,M01
202.4,818.5,195,M01
269.7,819.4,101,M01
259.2,822.7,114,M02
319.3,823.2,114,M01
278.7,852.1,202,M01
300.9,878.1,17,M01
214.3,882.9,794,M01
364.9,925.6,305,M01
106.2,39.0,299,M01
89.3,59.5,434,M01
73.6,40.0,197,M03
79.8,129.4,141,M01
82.6,213.9,376,M01
123.9,284.3,172,M01
121.5,303.4,180,M01
105.3,301.4,38,M01
103.4,290.5,57,M02
148.9,316.5,495,M01
151.8,323.2,592,M03
112.4,335.6,169,M01
209.5,339.4,168,M01
193.3,338.4,158,M03
361.0,340.8,329,M01
334.6,340.8,1039,M01
397.1,347.7,330,M01
386.6,365.9,380,M01
429.7,358.7,675,M01
423.5,345.4,660,M03
293.8,359.2,652,M01
174.5,372.5,5,M01
338.8,375.7,194,M01
316.0,404.7,173,M03
263.5,382.3,239,M01
257.3,379.5,128,M02
260.6,378.0,178,M03
301.9,382.8,828,M01
113.9,387.1,554,M01
359.1,387.6,32,M01
349.6,379.9,24,M06
198.6,430.3,562,M01
315.0,436.0,124,M01
334.1,441.5,1059,M01
163.0,444.4,237,M01
429.3,447.7,935,M01
207.6,449.1,39,M01
351.0,452.0,245,M01
324.1,471.3,437,M01
405.2,474.7,919,M01
419.7,807.7,153,M01
365.8,821.3,194,M01
351.5,817.5,22,M02
398.5,853.0,352,M01
384.7,871.6,187,M01
366.8,894.3,311,M01
418.8,901.9,69,M01
415.4,891.4,84,M03
97.2,1.6,72,M01
96.2,21.6,145,M01
115.8,24.5,567,M02
123.9,1.6,704,M06
77.4,22.1,270,M01
148.0,117.3,292,M01
138.9,137.1,279,M01
151.3,138.0,358,M02
146.6,125.2,261,M03
112.9,243.7,274,M01
95.8,230.8,237,M05
86.9,326.0,259,M01
394.2,783.4,240,M01
397.1,793.9,216,M02
381.3,798.6,89,M03
409.2,832.3,46,M01
260.6,483.2,86,M02
356.7,623.0,328,M02
118.2,626.2,1699,M02
284.7,669.3,5,M02
356.3,689.1,330,M02
141.8,689.1,361,M02
246.0,712.0,75,M02
86.0,64.6,426,M02
203.3,350.1,145,M02
188.1,345.8,29,M05
122.0,373.5,705,M02
175.4,417.4,430,M02
171.6,429.3,518,M03
373.4,432.7,693,M02
150.9,461.1,709,M02
412.6,470.4,450,M02
118.6,484.2,753,M02
112.0,471.3,564,M05
408.3,583.2,76,M02
364.4,770.2,283,M02
406.9,867.3,11,M02
234.6,473.7,106,M03
326.0,532.9,571,M03
253.5,653.8,143,M03
327.4,871.6,109,M03
435.0,435.0,791,M03
286.1,594.9,51,M03
86.0,307.6,222,M03
40.9,305.3,698,M05
372.5,353.9,374,M05
217.6,703.9,746,M05
10.6,933.7,1479,M05
241.3,672.2,69,M06
292.8,928.9,66,M06
514.0,439.1,614,M09
