zone_id,zone_name,zone_category,base_threat_level,map_color_hex,map_color_rgb,settlement_tier
1,冻土荒原,荒野,中,#C8D2E6,"200,210,230",
2,干旱戈壁,荒野,中,#DCC378,"220,195,120",
3,枯萎灌丛,荒野,中,#B4A55F,"180,165,95",
4,荒草平原,荒野,中,#BED264,"190,210,100",
5,腐败林地,荒野,中,#418241,"65,130,65",
6,潮湿密林,荒野,中,#236932,"35,105,50",
7,风蚀高原,荒野,中,#918269,"145,130,105",
11,废弃农庄A,功能区,高,#E68C3C,"230,140,60",
12,废弃农庄B,功能区,高,#D77D32,"215,125,50",
13,废弃农庄C,功能区,高,#C86E2D,"200,110,45",
14,废弃种植园,功能区,高,#E19B28,"225,155,40",
15,荒废牧场,功能区,高,#D2AA46,"210,170,70",
16,残破伐木场,功能区,高,#B45A28,"180,90,40",
17,遗弃中转站,功能区,高,#A55037,"165,80,55",
18,废弃营地,功能区,高,#C36432,"195,100,50",
19,干涸湖区,功能区,高,#64AAD2,"100,170,210",
20,废弃风电场,功能区,高,#EBA050,"235,160,80",
21,荒废禽场,功能区,高,#DCB45A,"220,180,90",
22,残破消防站,功能区,高,#AA4B2D,"170,75,45",
23,湖区能源站,功能区,高,#6EA0B4,"110,160,180",
33,前哨站核心,据点,低,#3250D2,"50,80,210",1
34,前哨站外围,据点,低,#5078C3,"80,120,195",1
35,避难所核心,据点,低,#823CBE,"130,60,190",2
36,避难所外围,据点,低,#A064B4,"160,100,180",2
